,id,title,title_lower,type,description,release_year,country_code,country,genre,seasons,age_certification,age_group,runtime,runtime_type,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
2410,ts80410,Kantaro: The Sweet Tooth Salaryman,kantaro: the sweet tooth salaryman,SHOW,A stoic book salesman leads a double life as he plays hooky from work to write his sweets blog. In his journey to attain a glimpse of sweets heaven Kantaro samples various Japanese and Western sweets.,2017,JP,Japan,comedy,1,not specified,not specified,30,short,7.6,808,1.526,7.2
2411,ts55533,Legend Quest,legend quest,SHOW,"When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time.",2017,MX,Mexico,comedy,1,TV-Y7,children,25,short,7.2,449,5.669,8.0
2412,ts57116,Ask the Doctor,ask the doctor,SHOW,"An innovative, fun, and exploratory factual series that addresses the state of the nation's health, the latest in medical treatments and the future of healthcare as we know it.",2017,AU,Australia,documentation,3,not specified,not specified,28,short,6.5,292,1.907,7.6
2413,tm347850,SPF-18,spf-18,MOVIE,"18-year-old Penny Cooper spent years pining for Johnny Sanders Jr., but when a mysterious musician shows up on the beach, Penny is torn.",2017,US,United States of America,romance,0,PG-13,supervised,75,medium,3.2,5173,8.86,4.4
2414,ts85250,Kulipari: Dream Walker,kulipari: dream walker,SHOW,"Now the Blue Sky King, Darel must lead a rescue mission to save a Dream Walker -- leaving the village under the protection of the Kulipari youth.",2018,US,United States of America,animation,1,TV-Y7,children,23,short,7.6,92,3.908,9.0
2415,tm411856,Hari Kondabolu: Warn Your Relatives,hari kondabolu: warn your relatives,MOVIE,"Hari Kondabolu breaks down identity politics, celebrity encounters, his mango obsession and more in an unpredictable stand-up comedy special.",2018,US,United States of America,comedy,0,not specified,not specified,67,medium,6.5,849,1.466,5.9
2416,tm363003,Seeing Allred,seeing allred,MOVIE,"Gloria Allred overcame trauma and personal setbacks to become one of the nation’s most famous women’s rights attorneys. Now the feminist firebrand takes on two of the biggest adversaries of her career, Bill Cosby and Donald Trump, as sexual violence allegations grip the nation and keep her in the spotlight.",2018,US,United States of America,documentation,0,not specified,not specified,96,long,7.2,1357,5.877,6.9
2417,tm348386,Resurface,resurface,MOVIE,A suicidal war veteran finds like-minded souls in a surf therapy program that helps traumatized soldiers heal while riding the waves.,2017,US,United States of America,documentation,0,not specified,not specified,27,short,7.1,286,2.459,7.2
2418,ts112279,Empire Games,empire games,SHOW,"This series explores the greatest empires in a way that has never been fully investigated. Each episode highlights and exposes the political intrigue, personal vendettas, family mayhem, acts of vengeance and the ever-evolving tension, turmoil and chaos that shaped these civilizations and led to their destruction from within.",2018,unknown,unknown,documentation,1,not specified,not specified,49,long,5.8,312,0.6,7.0
2419,tm372054,The Tribe,the tribe,MOVIE,"A cleaner woman with vocational street dancer tries to recover her long-stranded son that she gave for adoption, a former CEO who lost everything, including his memories.",2018,ES,Spain,comedy,0,not specified,not specified,90,long,5.8,2721,9.216,6.3
2420,tm440255,The Plagues of Breslau,the plagues of breslau,MOVIE,Every day at 6 pm a serial killer kills another person. Police officer Helena Rus thinks the killings are done by one man only and decides to reveal the killer's identity by getting back in 18th century history of the city.,2018,PL,Poland,thriller,0,not specified,not specified,93,long,5.9,5012,10.792,6.3
2421,tm372061,Sudani from Nigeria,sudani from nigeria,MOVIE,"When a soccer club manager brings one of his injured foreign players home to recuperate, they form an unlikely bond despite their cultural differences.",2018,IN,India,comedy,0,PG,supervised,123,long,8.2,4159,2.372,7.1
2422,tm372917,Pope Francis: A Man of His Word,pope francis: a man of his word,MOVIE,"Pope Francis responds to questions from around the world, discussing topics including ecology, immigration, consumerism and social justice.",2018,IT,Italy,documentation,0,PG,supervised,96,long,6.4,2260,8.256,7.3
2423,tm411503,Candy Jar,candy jar,MOVIE,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.,2018,US,United States of America,comedy,0,PG-13,supervised,92,long,5.8,5048,11.51,6.2
2424,tm293867,Neal Brennan: 3 Mics,neal brennan: 3 mics,MOVIE,"Wicked one-liners and soul-baring confessions converge in this uniquely intimate stand-up special from ""Chappelle's Show"" co-creator Neal Brennan.",2017,US,United States of America,comedy,0,not specified,not specified,65,medium,7.9,3302,3.283,7.3
2425,ts84597,FIGHTWORLD,fightworld,SHOW,"Actor and fight enthusiast Frank Grillo travels the world, immersing himself in different fight cultures to understand their traditions and motivations.",2018,US,United States of America,documentation,1,TV-MA,adults,42,long,7.5,822,3.396,6.8
